,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
64,0.3245306730270386,0.02418861891997038,0.09634513854980468,0.012490222101993772,21.54434690031882,0.4444444444444444,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6092648392263028,-0.49726605784372413,-0.5344423957594814,-0.5484410457361066,-0.4752398791026229,-0.5091346205099988,-0.4573313393434926,-0.47610021836590377,-0.5250339637258209,-0.5632365210521963,-0.519549088066565,0.044012839721930576,30
63,0.3236337184906006,0.011404265956173726,0.09295575618743897,0.00900549759645592,21.54434690031882,0.3333333333333333,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6093071057818116,-0.49728133692282483,-0.5345160501389226,-0.5484985122197269,-0.4752381931379432,-0.5091791608547442,-0.4574499925641683,-0.4761098529194843,-0.5250256499870349,-0.5632492201527317,-0.5195855074679392,0.04400951058676669,31
62,0.32363247871398926,0.010999252212909389,0.09414982795715332,0.008488166000745673,21.54434690031882,0.2222222222222222,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6093069607869237,-0.49723716310871086,-0.5345807520899069,-0.5485595378067896,-0.4752271790898767,-0.5092252868856446,-0.45755103615705384,-0.47612159725886044,-0.525016512811515,-0.5632646846265091,-0.519609071062179,0.04400395760494087,32
61,0.3239313840866089,0.016153796227916708,0.09225716590881347,0.007822122532977078,21.54434690031882,0.1111111111111111,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6093079778627908,-0.4971422727942546,-0.5346420567912574,-0.5486251352930938,-0.47521573418990676,-0.5092632690061208,-0.4576612962574421,-0.47613253388500587,-0.5250066044141509,-0.5632806341177199,-0.5196277514611743,0.04400051012483953,33
60,0.2741661548614502,0.012021483920740029,0.09833977222442628,0.007263469709544655,21.54434690031882,0.0,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.0}",-0.6093138438974688,-0.4971396680638841,-0.5347045274564662,-0.5486901582531496,-0.4752021298173381,-0.5093084493096041,-0.45777318143785656,-0.47614826720115744,-0.525000641846732,-0.5632971362480023,-0.5196578003531659,0.043992832442738806,34
79,0.37838795185089114,0.06597534542168723,0.11469912528991699,0.01162927543109719,166.81005372000558,1.0,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 1.0}",-0.6103828765850305,-0.49727699369323997,-0.5366013109082288,-0.5504856745907317,-0.4750707055613249,-0.5099244208516234,-0.45815775034578204,-0.476321276980266,-0.5260736277841879,-0.56367433224313,-0.5203968969543544,0.044368450203728795,35
76,0.30907454490661623,0.017635196002959798,0.09544661045074462,0.014889651955001202,166.81005372000558,0.6666666666666666,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.6103743339653604,-0.4972713276987234,-0.5366024576711084,-0.550461465534745,-0.47506488742870534,-0.5099397837020725,-0.45820779310141174,-0.4763324928951911,-0.5260602421869234,-0.5636766345641123,-0.5203991418748353,0.044357566853083716,36
75,0.2845391035079956,0.017280285762933428,0.08856332302093506,0.0067903002305882325,166.81005372000558,0.5555555555555556,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6103737819648696,-0.4972653396614722,-0.5365981498825594,-0.5504631392875747,-0.47506911259273743,-0.5099542975742513,-0.45823342766865327,-0.4763153585475193,-0.5260558761999332,-0.5636777275139602,-0.5204006210893531,0.04435510947309962,37
78,0.3162558555603027,0.0090251904613161,0.0903585433959961,0.00606943654306078,166.81005372000558,0.8888888888888888,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.610380252073107,-0.4972684403026351,-0.536596465753933,-0.5505007829966527,-0.4750693844760443,-0.5099328506005614,-0.45817339370620036,-0.47633010538747583,-0.5260765422734082,-0.5636819036845304,-0.5204010121254549,0.044366852297555104,38
77,0.3142600774765015,0.01085572055794353,0.09295196533203125,0.004964441696039631,166.81005372000558,0.7777777777777777,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6103811215153669,-0.4972694250174309,-0.5365958288380412,-0.5504759494327484,-0.4750670556116775,-0.509942064649626,-0.458209305658318,-0.4763310621085049,-0.5260735126431684,-0.563683258428449,-0.5204028583903331,0.04436025300503176,39
74,0.29790334701538085,0.027302780676661812,0.09255316257476806,0.010218522021662789,166.81005372000558,0.4444444444444444,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6103744920784517,-0.4972639898119671,-0.5366090189861598,-0.5504682306037354,-0.47506373971484966,-0.5099703814635468,-0.4582355747829814,-0.4763189731946221,-0.5260500389897873,-0.5636954000630696,-0.5204049839689171,0.04435722654244144,40
