,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,split5_test_neg_log_loss,split6_test_neg_log_loss,split7_test_neg_log_loss,split8_test_neg_log_loss,split9_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
52,0.32393248081207277,0.01495197461114163,0.18421330451965331,0.014669225078240256,2.782559402207126,0.2222222222222222,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6140864986360335,-0.4980858742366676,-0.5244384197023144,-0.5329437281603248,-0.47116555965007656,-0.5008675936363488,-0.44765436064927266,-0.47990571346800764,-0.509199704747247,-0.5585007459365336,-0.5136848198822825,0.045069026504745924,21,0.6755952380952381,0.8005952380952381,0.7686011904761905,0.7834821428571429,0.8117559523809523,0.7953869047619048,0.8392857142857143,0.7976190476190477,0.7643020594965676,0.7406559877955758,0.7777279475863572,0.042754829944531225,14
51,0.32852270603179934,0.014503280593881762,0.19268434047698973,0.013621047296288618,2.782559402207126,0.1111111111111111,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6142070964520416,-0.4979965022167036,-0.5252036710960482,-0.533132608941265,-0.47113640993232997,-0.5010965327979809,-0.4482971419277,-0.480004736851415,-0.5093239722260455,-0.5587470650437354,-0.5139145737485264,0.04504395128719993,22,0.6755952380952381,0.7998511904761905,0.7686011904761905,0.7819940476190477,0.8117559523809523,0.7953869047619048,0.8400297619047619,0.7976190476190477,0.763539282990084,0.7414187643020596,0.7775791380625477,0.042764932931732225,16
50,0.2929182767868042,0.023600995988299137,0.19507737159729005,0.015143127735973023,2.782559402207126,0.0,"{'logistic_regression__C': 2.782559402207126, 'logistic_regression__l1_ratio': 0.0}",-0.6143416161476264,-0.49804260411019063,-0.5258855694125015,-0.5331206022986168,-0.47105366000742527,-0.5013777321355117,-0.4489748801313098,-0.4800713873976202,-0.5093186565058941,-0.5588321772284826,-0.5141018885375179,0.04499422698335718,23,0.6755952380952381,0.8013392857142857,0.7678571428571428,0.7834821428571429,0.8117559523809523,0.7953869047619048,0.8400297619047619,0.7983630952380952,0.7643020594965676,0.742181540808543,0.7780293124114634,0.04282416578106734,11
33,0.21213231086730958,0.014555530856490959,0.19707345962524414,0.011658343746482804,0.046415888336127774,0.3333333333333333,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.547105513760682,-0.5163768412720098,-0.5092974824854991,-0.5160289326118235,-0.5413003540217719,-0.5125440678432622,-0.4722435622054051,-0.5077287162481385,-0.5145327883298656,-0.5308044028194484,-0.5167962661597907,0.019653736522139247,24,0.7224702380952381,0.7723214285714286,0.7648809523809524,0.7819940476190477,0.7247023809523809,0.7834821428571428,0.8467261904761905,0.7938988095238095,0.7658276125095347,0.7284515636918384,0.7684755366677564,0.0358422578609491,64
69,0.3153552532196045,0.016698734700671073,0.18531110286712646,0.007910564533615402,21.54434690031882,1.0,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 1.0}",-0.6220581757899959,-0.49884936702151245,-0.536994486636992,-0.5426552127004232,-0.4698552752438404,-0.5049692319920217,-0.4503694997812094,-0.48147782483438417,-0.5158286646151568,-0.5614650037033919,-0.5184522742318928,0.04738234452620647,25,0.6770833333333334,0.7998511904761905,0.7641369047619048,0.7775297619047619,0.8117559523809524,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7467581998474446,0.7766100032690421,0.042254022164783515,21
68,0.3219384908676147,0.012342594787412465,0.188897705078125,0.007274293939701567,21.54434690031882,0.8888888888888888,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.6220543393658187,-0.4988432636383487,-0.5370995794263453,-0.5426215601869264,-0.46992347712432786,-0.5049959292386579,-0.45050166384435436,-0.4815008084290028,-0.515809594291345,-0.5615511026123421,-0.5184901318157469,0.04736356157473547,26,0.6770833333333334,0.7998511904761905,0.7641369047619048,0.7775297619047619,0.8117559523809524,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7467581998474446,0.7766100032690421,0.042254022164783515,21
67,0.3141613006591797,0.010042022029390096,0.1877967119216919,0.005353858187679009,21.54434690031882,0.7777777777777777,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6220411068054175,-0.49883153225995125,-0.5371928892955312,-0.5426428389394745,-0.4698965585244184,-0.5050827097322335,-0.45060417545951575,-0.4815172083838554,-0.5158085387539496,-0.5617160522297817,-0.5185333610384129,0.04736523859914268,27,0.6778273809523809,0.7998511904761905,0.7633928571428571,0.7775297619047619,0.8117559523809524,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7459954233409611,0.7765337256183937,0.042156436345460034,25
66,0.31914577484130857,0.011353832401207834,0.18410830497741698,0.00908875117643732,21.54434690031882,0.6666666666666666,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.621959982535983,-0.4988013429305463,-0.5372820330038596,-0.5426290513394162,-0.4698869196969738,-0.5050621219791036,-0.45073334740247795,-0.48151419879014884,-0.5157877174958495,-0.5619415942848291,-0.5185598309459187,0.04735562330876244,28,0.6778273809523809,0.7998511904761905,0.7633928571428571,0.7775297619047619,0.8117559523809524,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7459954233409611,0.7765337256183937,0.042156436345460034,25
65,0.3103687524795532,0.014735332760132922,0.18291265964508058,0.00993562734741864,21.54434690031882,0.5555555555555556,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6219795957650245,-0.49872270219980586,-0.537373918037243,-0.5426626583024936,-0.46987046471229077,-0.5051441328237646,-0.4508171554966879,-0.4815856015332812,-0.5157900313960987,-0.5619038396646833,-0.5185850099931374,0.047346851206093325,29,0.6778273809523809,0.7998511904761905,0.7633928571428571,0.7775297619047619,0.8125,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7459954233409611,0.7766081303802986,0.042219146755449924,24
64,0.324133038520813,0.010479179086822433,0.18610568046569825,0.008650669554901572,21.54434690031882,0.4444444444444444,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6219823327510069,-0.49864170225563764,-0.5374583966330351,-0.5427014208441238,-0.4698600176038118,-0.5052100684619226,-0.45093519164225554,-0.4816200005549459,-0.515777477122363,-0.5618665792500981,-0.5186053187119201,0.047332487803095055,30,0.6778273809523809,0.7998511904761905,0.7641369047619048,0.7775297619047619,0.8125,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7459954233409611,0.7766825351422033,0.04219644083163991,19
63,0.33051586151123047,0.01726386925376514,0.18161444664001464,0.007561602460630003,21.54434690031882,0.3333333333333333,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.6219882059567456,-0.49867225076449007,-0.5375829568433526,-0.5426996021673605,-0.46984703015195783,-0.5052691086047603,-0.45102541118699213,-0.4816128962823096,-0.5157870804507593,-0.5618235700143585,-0.5186308112423086,0.04732070947545655,31,0.6778273809523809,0.7998511904761905,0.7641369047619048,0.7775297619047619,0.8125,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7459954233409611,0.7766825351422033,0.04219644083163991,19
62,0.3365997552871704,0.012640761515107,0.18939390182495117,0.011921354516634963,21.54434690031882,0.2222222222222222,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.6219936076412143,-0.49867640221867243,-0.5376769030862408,-0.5427375338319788,-0.4698273798638287,-0.5053540468666199,-0.4511140503040618,-0.481612565331592,-0.5157557470992324,-0.5617916829890003,-0.5186539919232441,0.04731169644205194,32,0.6778273809523809,0.7998511904761905,0.7648809523809524,0.7775297619047619,0.8125,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7467581998474446,0.7768332175547565,0.04211985358812295,17
61,0.32572739124298095,0.012191422216631395,0.18081815242767335,0.009304389144179536,21.54434690031882,0.1111111111111111,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.6220142207368223,-0.4986875460786745,-0.5377549854904976,-0.5427553553763517,-0.46981676623360225,-0.5053498643687759,-0.45121338696345353,-0.48156020119161536,-0.5157537621400878,-0.5617588218807421,-0.5186664910460623,0.047307942888086575,33,0.6778273809523809,0.7998511904761905,0.7641369047619047,0.7775297619047619,0.8125,0.7953869047619047,0.8400297619047619,0.796875,0.7574370709382151,0.7467581998474446,0.7768332175547565,0.042173707953321815,17
60,0.2784555196762085,0.014046380600289541,0.19009320735931395,0.01088922901260036,21.54434690031882,0.0,"{'logistic_regression__C': 21.54434690031882, 'logistic_regression__l1_ratio': 0.0}",-0.6220277165383238,-0.49864237794208927,-0.5378706348754136,-0.5428261564471516,-0.469803446521881,-0.5054033809872841,-0.4513457358369859,-0.4815786993899163,-0.5157397058477187,-0.5617094549464392,-0.5186947309333204,0.04729624407058278,34,0.6770833333333334,0.7998511904761905,0.7641369047619047,0.7775297619047619,0.8117559523809523,0.7946428571428571,0.8400297619047619,0.796875,0.7574370709382151,0.7467581998474446,0.7766100032690421,0.042254022164783515,21
77,0.3155564069747925,0.013797349896380045,0.18869490623474122,0.0066576335475767605,166.81005372000558,0.7777777777777777,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.6231904191692763,-0.49872580770658176,-0.5397226974967262,-0.5443856042590656,-0.46964198381203515,-0.5060683423604025,-0.4516707101805649,-0.48179557141249624,-0.5168075332325491,-0.5621766555990246,-0.5194185325228722,0.047674593364711734,35,0.6763392857142857,0.7998511904761905,0.7626488095238095,0.7782738095238095,0.8110119047619048,0.7946428571428571,0.8392857142857142,0.796875,0.7559115179252479,0.7475209763539283,0.7762361065707747,0.04232356677772398,30
75,0.31326005458831785,0.007224827159538999,0.18600423336029054,0.01100018472414965,166.81005372000558,0.5555555555555556,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.6232014300676474,-0.4987391915953414,-0.5397902531804838,-0.5443413835760559,-0.46963860043301847,-0.5060622245680644,-0.4516714846377784,-0.4817994924120983,-0.5167770263427143,-0.5621762646320618,-0.5194197351445264,0.04767721567349614,36,0.6763392857142857,0.7998511904761905,0.7626488095238095,0.7790178571428572,0.8110119047619048,0.7946428571428571,0.8392857142857142,0.796875,0.7559115179252479,0.7475209763539283,0.7763105113326796,0.04232773746625155,29
79,0.3090749502182007,0.007792999762088678,0.18191225528717042,0.008438489989209248,166.81005372000558,1.0,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 1.0}",-0.6232096422755165,-0.4987451086861833,-0.539714819464883,-0.5444038893126051,-0.4696447110069533,-0.5060535736789289,-0.4516210695685395,-0.481843598270593,-0.5167969801080821,-0.5621979037499006,-0.5194231296122186,0.047683924191468004,37,0.6763392857142857,0.7998511904761905,0.7626488095238095,0.7782738095238095,0.8110119047619048,0.7946428571428571,0.8392857142857142,0.796875,0.7559115179252479,0.7475209763539283,0.7762361065707747,0.04232356677772398,30
78,0.3214411735534668,0.01786777043014066,0.1848055124282837,0.010073128398900077,166.81005372000558,0.8888888888888888,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.6231738893547819,-0.4987422310676644,-0.5397073222924542,-0.5444523759281445,-0.46963829206807456,-0.5061123516982027,-0.4516450447218692,-0.48184876654771464,-0.5167894196381037,-0.5621825200582494,-0.519429221337526,0.04767236232151054,38,0.6763392857142857,0.7998511904761905,0.7626488095238095,0.7782738095238095,0.8110119047619048,0.7946428571428571,0.8392857142857142,0.796875,0.7559115179252479,0.7475209763539283,0.7762361065707747,0.04232356677772398,30
74,0.315855884552002,0.010152173170937561,0.18470604419708253,0.006567391047472351,166.81005372000558,0.4444444444444444,"{'logistic_regression__C': 166.81005372000558, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.6232094231369386,-0.49873504454104134,-0.5397834863773199,-0.5443519906400149,-0.46963878789871955,-0.5060883952287784,-0.4516473707408505,-0.4818519789493051,-0.5168176486117885,-0.5622070600212108,-0.5194331186145968,0.04768047476230593,39,0.6763392857142857,0.7998511904761905,0.7626488095238095,0.7782738095238095,0.8110119047619048,0.7946428571428571,0.8392857142857142,0.796875,0.7559115179252479,0.7475209763539283,0.7762361065707747,0.04232356677772398,30
